ATS,COD_ENTE,DENOM_ENTE,COD_STRUTTURA,COD_SUB,MAX LIVELLO EMERGENZA,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,DATA_APERTURA,DATA_CHIUSURA,INDIRIZZO,CAP,CODICE COMUNE STRUTTURA RICOVERO,LOCALITA,TELEFONO,FAX,E-MAIL STRUTTURA RICOVERO,SITO_WEB,LIV_EMERG,PRONTO SOCCORSO,PS_PEDIATRICO,PUNTO PRIMO INTERVENTO,TIPO LIVELLO EMERGENZA
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,01,3 - DEA,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,VIA PANDINA 1,20070,015244,VIZZOLO PREDABISSI,0298052255,0298052500,dirsan.vizzolo@asst-melegnano-martesana.it,,DEA-PS,X,X,,1-DEA
325,720,ASST DI BERGAMO EST,030140,00,3 - DEA,OSPEDALE BOLOGNINI - SERIATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,"VIA PADERNO, 21",24068,016198,SERIATE,035 3063111,0353063220,dirmed.seriate@asst-bergamoest.it,,DEA-PS,X,,,1-DEA
325,720,ASST DI BERGAMO EST,030140,00,3 - DEA,OSPEDALE BOLOGNINI - SERIATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,"VIA PADERNO, 21",24068,016198,SERIATE,035 3063111,0353063220,dirmed.seriate@asst-bergamoest.it,,DEA-PS,X,,,1-DEA
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,02,,OSPEDALE SERBELLONI - GORGONZOLA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,"VIA BELLINI, 5",20064,015108,GORGONZOLA,02957071,029516573,,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030085,02,1 - PPI,OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015,,VIA DON MOLETTA 22,20069,015230,VAPRIO D'ADDA,02909351,0290935493,,,PPI,,,X,
325,720,ASST DI BERGAMO EST,030140,00,3 - DEA,OSPEDALE BOLOGNINI - SERIATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,"VIA PADERNO, 21",24068,016198,SERIATE,035 3063111,0353063220,dirmed.seriate@asst-bergamoest.it,,DEA-PS,X,,,1-DEA
325,325,ATS DI BERGAMO,030360,00,,FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2005,,"VIA MANZONI, 130",24025,016111,GAZZANIGA,035 306511,,ferb-trescore@ferbonlus.com,,Senza livello emergenza,,,,
325,325,ATS DI BERGAMO,030360,00,,FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2005,,"VIA MANZONI, 130",24025,016111,GAZZANIGA,035 306511,,ferb-trescore@ferbonlus.com,,Senza livello emergenza,,,,
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,00,3 - DEA,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,VIA PANDINA 1,20070,015244,VIZZOLO PREDABISSI,02  98052255,0298052500,dirsan.vizzolo@asst-melegnano-martesana.it,,DEA-PS,X,X,,1-DEA
325,325,ATS DI BERGAMO,030360,00,,FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/05/2005,,"VIA MANZONI, 130",24025,016111,GAZZANIGA,035 306511,,ferb-trescore@ferbonlus.com,,Senza livello emergenza,,,,
322,711,ASST DELLA VALLE OLONA,030008,00,3 - DEA,OSP. GENERALE PROVINCIALE - SARONNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984,,PIAZZALE BORELLA 1,21047,012119,SARONNO,02  96.131,,,,DEA-PS,X,X,,1-DEA
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
325,720,ASST DI BERGAMO EST,030382,00,2 - PS,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2009,,"VIA GROPPINI,22",24020,016163,PIARIO,0353066211,0353066251,dirmed.piario@asst-bergamoest.it,,PS,X,,,
325,720,ASST DI BERGAMO EST,030137,00,2 - PS,OSP.LE SS.CAPITANIO E GEROSA - LOVERE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988,,"VIA MARTINOLI, 9A",24065,016128,LOVERE,0353067111,0353067262,dirmed.lovere@asst-bergamoest.it,,PS,X,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
325,720,ASST DI BERGAMO EST,030382,00,2 - PS,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2009,,"VIA GROPPINI,22",24020,016163,PIARIO,0353066211,0353066251,dirmed.piario@asst-bergamoest.it,,PS,X,,,
325,720,ASST DI BERGAMO EST,030137,00,2 - PS,OSP.LE SS.CAPITANIO E GEROSA - LOVERE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988,,"VIA MARTINOLI, 9A",24065,016128,LOVERE,0353067111,0353067262,dirmed.lovere@asst-bergamoest.it,,PS,X,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
326,326,ATS DI BRESCIA,030366,00,,DOMINATO LEONENSE SANITA' - LENO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/2006,31/12/2018,"PIAZZA DONATORI DI SANGUE,1",25024,017088,LENO,0309040511,0309040512,info@dominatoleonensesanita.it,www.dominatoleonensesanita.it,Senza livello emergenza,,,,
