Ospedale Di  Vizzolo Predabissi,901,Dale Dozier,Hospital
Ospedale Bolognini - Seriate,902,Leslie Hill,Hospital
Ospedale Di Magenta - Abbiategrasso,903,Linda Soderquist,Hospital
Ospedale S. Paolo - Milano,904,Dolores Brantley,Hospital
Osp. Moriggia Pelascini - Gravedona,905,Bryan Broadway,Hospital
Ospedale Di Circolo - Busto Arsizio,906,Earnestine Hunter,Hospital
Ospedale Bassini - Cinisello Balsamo,907,Gregory Pearsall,Hospital
Ospedale Valcamonica - Esine,908,Robert Hinderliter,Hospital
Ospedale Sondrio,909,Arthur Beacham,Hospital
Ospedale G.Salvini-Garbagnate Mil.Se,910,Kelly Bridges,Hospital
Ospedale Maggiore - Crema,911,Crystal Mercer,Hospital
Ospedale Di Cremona,912,Eldridge Carroll,Hospital
Presidio Ospedaliero Di Desio,913,Pearline Jones,Hospital
Osp.Civile Destra Secchia-Pieve Coriano,914,Rebecca Lanterman,Hospital
Ospedale Di Circolo S.L.Mandic-Merate,915,Andrew Huntsman,Hospital
Ospedale S. Carlo Borromeo - Milano,916,Brandon Clouthier,Hospital
Ospedale Di Circolo A. Manzoni - Lecco,917,Agnes Ferguson,Hospital
Ospedale Di Manerbio,918,Robert Vajgrt,Hospital
Ospedale Di Circolo - Rho,919,Lula Petty,Hospital
Presidio Ospedaliero Di Vimercate,920,Wilma Patton,Hospital
Ospedale G. Fornaroli Magenta,921,Susan Innes,Hospital
Presidio Ospedaliero Di Chiari,922,Pedro Palmer,Hospital
Ospedale Di Legnano E Cuggiono-Legnano,923,Maria Warnstaff,Hospital
Istituti Ospitalieri - Cremona,924,Joan Witt,Hospital
Ospedale Maggiore Di Lodi,925,Justin Calderon,Hospital
Ospedale Civile - Voghera,926,Gerald Barth,Hospital
Ospedale Di Treviglio E Caravaggio,927,Noemi Pugh,Hospital
Ospedale C. Poma - Mantova,928,Claire Moran,Hospital
Osp. S. Antonio Abate - Gallarate,929,Clare Moore,Hospital
Ospedale Di Desenzano,930,Karen Kline,Hospital
Ospedale Civile G. Fornaroli - Magenta,931,Richard Smith,Hospital
Osp.Sacra Famiglia - F.B.F. - Erba,932,Paula Osofsky,Hospital
Ospedale L. Sacco - Milano,933,Oliver Preston,Hospital
Ospedale Civile - Vigevano,934,Benjamin Nixon,Hospital
Ospedale Civile Di Legnano,935,James Stansberry,Hospital
Ospedale S. Anna - Como,936,Alice Roberts,Hospital
